"Statistic","Year","Make and Model","UNIT","VALUE"
"New Private Cars Licensed for the First Time Rank","2020","Nissan Leaf","Number","42"
"New Private Cars Licensed for the First Time Rank","2020","Opel Corsa","Number","37"
"New Private Cars Licensed for the First Time Rank","2020","Opel Astra","Number","95"
"New Private Cars Licensed for the First Time Rank","2020","Opel Zafira","Number","211"
"New Private Cars Licensed for the First Time Rank","2020","Opel Insignia","Number","83"
"New Private Cars Licensed for the First Time Rank","2020","Opel Mokka X","Number","177"
"New Private Cars Licensed for the First Time Rank","2020","Opel Adam","Number","211"
"New Private Cars Licensed for the First Time Rank","2020","Opel Karl","Number","198"
"New Private Cars Licensed for the First Time Rank","2020","Opel Crossland X","Number","84"
"New Private Cars Licensed for the First Time Rank","2020","Opel Grandland X","Number","78"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot 308","Number","109"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot 3008","Number","14"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot 5008","Number","21"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot 508","Number","96"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot 208","Number","40"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot 2008","Number","46"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot 108","Number","180"
"New Private Cars Licensed for the First Time Rank","2020","Peugeot Rifter","Number","140"
"New Private Cars Licensed for the First Time Rank","2020","Porsche 911","Number","191"
"New Private Cars Licensed for the First Time Rank","2020","Porsche Cayenne","Number","145"
"New Private Cars Licensed for the First Time Rank","2020","Porsche Panamera","Number","176"
"New Private Cars Licensed for the First Time Rank","2020","Porsche Macan","Number","188"
"New Private Cars Licensed for the First Time Rank","2020","Renault Clio","Number","23"
"New Private Cars Licensed for the First Time Rank","2020","Renault Megane","Number","48"
"New Private Cars Licensed for the First Time Rank","2020","Renault Scenic","Number","164"
"New Private Cars Licensed for the First Time Rank","2020","Renault Grand Scenic","Number","115"
"New Private Cars Licensed for the First Time Rank","2020","Renault Koleos","Number","127"
"New Private Cars Licensed for the First Time Rank","2020","Renault Fluence","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Renault Captur","Number","17"
"New Private Cars Licensed for the First Time Rank","2020","Renault Zoe","Number","92"
"New Private Cars Licensed for the First Time Rank","2020","Renault Kadjar","Number","35"
"New Private Cars Licensed for the First Time Rank","2020","Seat Ibiza","Number","51"
"New Private Cars Licensed for the First Time Rank","2020","Seat Toledo","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Seat Alhambra","Number","136"
"New Private Cars Licensed for the First Time Rank","2020","Seat Leon","Number","74"
"New Private Cars Licensed for the First Time Rank","2020","Seat Mii","Number","203"
"New Private Cars Licensed for the First Time Rank","2020","Seat Ateca","Number","32"
"New Private Cars Licensed for the First Time Rank","2020","Seat Arona","Number","26"
"New Private Cars Licensed for the First Time Rank","2020","Seat Tarraco","Number","55"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Octavia","Number","8"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Fabia","Number","43"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Superb","Number","29"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Yeti","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Skoda Citigo","Number","215"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Rapid","Number","215"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Kodiaq","Number","12"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Karoq","Number","25"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Scala","Number","58"
"New Private Cars Licensed for the First Time Rank","2020","Skoda Kamiq","Number","52"
"New Private Cars Licensed for the First Time Rank","2020","Ssangyong Tivoli","Number","170"
"New Private Cars Licensed for the First Time Rank","2020","Subaru Impreza","Number","191"
"New Private Cars Licensed for the First Time Rank","2020","Subaru Forester","Number","153"
"New Private Cars Licensed for the First Time Rank","2020","Subaru XV","Number","198"
"New Private Cars Licensed for the First Time Rank","2020","Suzuki Swift","Number","106"
"New Private Cars Licensed for the First Time Rank","2020","Suzuki Baleno","Number","207"
"New Private Cars Licensed for the First Time Rank","2020","Suzuki Ignis","Number","99"
"New Private Cars Licensed for the First Time Rank","2020","Suzuki Vitara","Number","56"
"New Private Cars Licensed for the First Time Rank","2020","Suzuki SX4","Number","150"
"New Private Cars Licensed for the First Time Rank","2020","Suzuki Celerio","Number","203"
"New Private Cars Licensed for the First Time Rank","2020","Tesla Model 3","Number","36"
"New Private Cars Licensed for the First Time Rank","2020","Tesla Model S","Number","157"
"New Private Cars Licensed for the First Time Rank","2020","Tesla Model X","Number","177"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Camry","Number","72"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Rav4","Number","16"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Avensis","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Toyota Yaris","Number","10"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Prius","Number","131"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Aygo","Number","86"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Corolla","Number","1"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Auris","Number","213"
"New Private Cars Licensed for the First Time Rank","2020","Toyota Verso","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Toyota C-HR","Number","7"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Passat","Number","20"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Golf","Number","6"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Polo","Number","15"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Jetta","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Sharan","Number","148"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Beetle","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Touran","Number","141"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Tiguan","Number","2"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Up","Number","188"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen Arteon","Number","105"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen T-Roc","Number","22"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen T-Cross","Number","30"
"New Private Cars Licensed for the First Time Rank","2020","Volkswagen ID.3","Number","73"
"New Private Cars Licensed for the First Time Rank","2020","Volvo S60","Number","155"
"New Private Cars Licensed for the First Time Rank","2020","Volvo XC90","Number","96"
"New Private Cars Licensed for the First Time Rank","2020","Volvo V40","Number","198"
"New Private Cars Licensed for the First Time Rank","2020","Volvo XC60","Number","80"
"New Private Cars Licensed for the First Time Rank","2020","Volvo V60","Number","139"
"New Private Cars Licensed for the First Time Rank","2020","Volvo S90","Number","146"
"New Private Cars Licensed for the First Time Rank","2020","Volvo V90","Number","158"
"New Private Cars Licensed for the First Time Rank","2020","Volvo XC40","Number","59"
"New Private Cars Licensed for the First Time Rank","2020","Other","Number",""
"New Private Cars Licensed for the First Time Rank","2020","All models","Number",""
