"Statistic","Year","Make and Model","UNIT","VALUE"
"New Private Cars Licensed for the First Time","2020","Jaguar F-Pace","Number","110"
"New Private Cars Licensed for the First Time","2020","Jaguar E-Pace","Number","79"
"New Private Cars Licensed for the First Time","2020","Jaguar I-Pace","Number","12"
"New Private Cars Licensed for the First Time","2020","Jeep Renegade","Number","12"
"New Private Cars Licensed for the First Time","2020","Jeep Compass","Number","4"
"New Private Cars Licensed for the First Time","2020","Kia Sportage","Number","1770"
"New Private Cars Licensed for the First Time","2020","Kia Carens","Number","0"
"New Private Cars Licensed for the First Time","2020","Kia Rio","Number","206"
"New Private Cars Licensed for the First Time","2020","Kia Sorento","Number","74"
"New Private Cars Licensed for the First Time","2020","Kia Picanto","Number","244"
"New Private Cars Licensed for the First Time","2020","Kia Ceed","Number","327"
"New Private Cars Licensed for the First Time","2020","Kia Pro_Ceed","Number","91"
"New Private Cars Licensed for the First Time","2020","Kia Soul","Number","224"
"New Private Cars Licensed for the First Time","2020","Kia Venga","Number","0"
"New Private Cars Licensed for the First Time","2020","Kia Optima","Number","47"
"New Private Cars Licensed for the First Time","2020","Kia Niro","Number","871"
"New Private Cars Licensed for the First Time","2020","Kia Stonic","Number","877"
"New Private Cars Licensed for the First Time","2020","Kia Stinger","Number","0"
"New Private Cars Licensed for the First Time","2020","Kia Xceed","Number","365"
"New Private Cars Licensed for the First Time","2020","Landrover Discovery","Number","88"
"New Private Cars Licensed for the First Time","2020","Landrover Range Rover","Number","28"
"New Private Cars Licensed for the First Time","2020","Landrover Range Rover Sport","Number","179"
"New Private Cars Licensed for the First Time","2020","Landrover Discovery Sport","Number","400"
"New Private Cars Licensed for the First Time","2020","Landrover Range Rover Evoque","Number","184"
"New Private Cars Licensed for the First Time","2020","Landrover Range Rover Velar","Number","118"
"New Private Cars Licensed for the First Time","2020","Lexus IS","Number","20"
"New Private Cars Licensed for the First Time","2020","Lexus GS","Number","0"
"New Private Cars Licensed for the First Time","2020","Lexus LS","Number","1"
"New Private Cars Licensed for the First Time","2020","Lexus RX","Number","53"
"New Private Cars Licensed for the First Time","2020","Lexus CT","Number","21"
"New Private Cars Licensed for the First Time","2020","Lexus NX","Number","133"
"New Private Cars Licensed for the First Time","2020","Lexus RC","Number","4"
"New Private Cars Licensed for the First Time","2020","Lexus ES","Number","102"
"New Private Cars Licensed for the First Time","2020","Lexus Ux","Number","63"
"New Private Cars Licensed for the First Time","2020","Mazda 6","Number","94"
"New Private Cars Licensed for the First Time","2020","Mazda 2","Number","102"
"New Private Cars Licensed for the First Time","2020","Mazda 3","Number","302"
"New Private Cars Licensed for the First Time","2020","Mazda MX-5","Number","13"
"New Private Cars Licensed for the First Time","2020","Mazda CX-5","Number","379"
"New Private Cars Licensed for the First Time","2020","Mazda CX-3","Number","11"
"New Private Cars Licensed for the First Time","2020","Mazda CX-30","Number","321"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz S Class","Number","19"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz C Class","Number","323"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz E Class","Number","507"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz B Class","Number","56"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz CLS","Number","66"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz A Class","Number","541"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz CLA","Number","468"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz GLA","Number","91"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz GLE","Number","176"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz GLC","Number","414"
"New Private Cars Licensed for the First Time","2020","Mercedes Benz EQC","Number","12"
"New Private Cars Licensed for the First Time","2020","Mini","Number","420"
"New Private Cars Licensed for the First Time","2020","Mitsubishi Lancer","Number","0"
"New Private Cars Licensed for the First Time","2020","Mitsubishi Spacestar","Number","74"
"New Private Cars Licensed for the First Time","2020","Mitsubishi Outlander","Number","240"
"New Private Cars Licensed for the First Time","2020","Mitsubishi ASX","Number","50"
"New Private Cars Licensed for the First Time","2020","Mitsubishi Eclipse Cross","Number","24"
"New Private Cars Licensed for the First Time","2020","Nissan Micra","Number","1035"
"New Private Cars Licensed for the First Time","2020","Nissan Pulsar","Number","0"
"New Private Cars Licensed for the First Time","2020","Nissan X-Trail","Number","386"
"New Private Cars Licensed for the First Time","2020","Nissan Note","Number","0"
"New Private Cars Licensed for the First Time","2020","Nissan Qashqai","Number","1882"
"New Private Cars Licensed for the First Time","2020","Nissan Juke","Number","1163"
"New Private Cars Licensed for the First Time","2020","Nissan Leaf","Number","603"
"New Private Cars Licensed for the First Time","2020","Opel Corsa","Number","682"
"New Private Cars Licensed for the First Time","2020","Opel Astra","Number","220"
"New Private Cars Licensed for the First Time","2020","Opel Zafira","Number","3"
"New Private Cars Licensed for the First Time","2020","Opel Insignia","Number","300"
"New Private Cars Licensed for the First Time","2020","Opel Mokka X","Number","16"
"New Private Cars Licensed for the First Time","2020","Opel Adam","Number","3"
"New Private Cars Licensed for the First Time","2020","Opel Karl","Number","6"
"New Private Cars Licensed for the First Time","2020","Opel Crossland X","Number","281"
"New Private Cars Licensed for the First Time","2020","Opel Grandland X","Number","319"
"New Private Cars Licensed for the First Time","2020","Peugeot 308","Number","138"
"New Private Cars Licensed for the First Time","2020","Peugeot 3008","Number","1465"
"New Private Cars Licensed for the First Time","2020","Peugeot 5008","Number","1150"
"New Private Cars Licensed for the First Time","2020","Peugeot 508","Number","206"
"New Private Cars Licensed for the First Time","2020","Peugeot 208","Number","608"
"New Private Cars Licensed for the First Time","2020","Peugeot 2008","Number","573"
"New Private Cars Licensed for the First Time","2020","Peugeot 108","Number","13"
"New Private Cars Licensed for the First Time","2020","Peugeot Rifter","Number","59"
"New Private Cars Licensed for the First Time","2020","Porsche 911","Number","9"
"New Private Cars Licensed for the First Time","2020","Porsche Cayenne","Number","48"
"New Private Cars Licensed for the First Time","2020","Porsche Panamera","Number","18"
"New Private Cars Licensed for the First Time","2020","Porsche Macan","Number","10"
"New Private Cars Licensed for the First Time","2020","Renault Clio","Number","1057"
"New Private Cars Licensed for the First Time","2020","Renault Megane","Number","542"
"New Private Cars Licensed for the First Time","2020","Renault Scenic","Number","28"
"New Private Cars Licensed for the First Time","2020","Renault Grand Scenic","Number","113"
"New Private Cars Licensed for the First Time","2020","Renault Koleos","Number","88"
"New Private Cars Licensed for the First Time","2020","Renault Fluence","Number","0"
"New Private Cars Licensed for the First Time","2020","Renault Captur","Number","1280"
"New Private Cars Licensed for the First Time","2020","Renault Zoe","Number","229"
"New Private Cars Licensed for the First Time","2020","Renault Kadjar","Number","747"
"New Private Cars Licensed for the First Time","2020","Seat Ibiza","Number","524"
"New Private Cars Licensed for the First Time","2020","Seat Toledo","Number","0"
"New Private Cars Licensed for the First Time","2020","Seat Alhambra","Number","66"
"New Private Cars Licensed for the First Time","2020","Seat Leon","Number","331"
"New Private Cars Licensed for the First Time","2020","Seat Mii","Number","5"
"New Private Cars Licensed for the First Time","2020","Seat Ateca","Number","776"
"New Private Cars Licensed for the First Time","2020","Seat Arona","Number","926"
"New Private Cars Licensed for the First Time","2020","Seat Tarraco","Number","472"
"New Private Cars Licensed for the First Time","2020","Skoda Octavia","Number","1950"
"New Private Cars Licensed for the First Time","2020","Skoda Fabia","Number","594"
"New Private Cars Licensed for the First Time","2020","Skoda Superb","Number","867"
"New Private Cars Licensed for the First Time","2020","Skoda Yeti","Number","0"
"New Private Cars Licensed for the First Time","2020","Skoda Citigo","Number","1"
"New Private Cars Licensed for the First Time","2020","Skoda Rapid","Number","1"
